,id_localidade,validade_inicial,mens,recebimento
40,SBMM,2020-09-10 09:47:00,SPECI SBMM 100947Z AUTO 02020KT 9999 -SHRA BKN023 23/19 Q1020 W///S4=,2020-09-10 09:48:11
41,SBMM,2020-09-10 09:48:00,SPECI SBMM 100948Z AUTO 02020KT 9999 -SHRA BKN023 23/19 Q1020 W///S4=,2020-09-10 09:49:21
42,SBMM,2020-09-10 09:49:00,SPECI SBMM 100949Z AUTO 02020KT 9999 -SHRA BKN021 23/19 Q1020 W///S4=,2020-09-10 09:50:31
43,SBMM,2020-09-10 09:54:00,SPECI SBMM 100954Z AUTO 02021KT 9999 -RA OVC040 23/19 Q1020 W///S4=,2020-09-10 09:55:17
44,SBMM,2020-09-10 09:55:00,SPECI SBMM 100955Z AUTO 02022KT 9999 OVC044 23/19 Q1020 W///S4=,2020-09-10 09:56:27
45,SBMM,2020-09-10 10:00:00,METAR SBMM 101000Z AUTO 03022KT 9999 OVC046 23/19 Q1020 W///S4=,2020-09-10 10:00:22
46,SBMM,2020-09-10 10:37:00,SPECI SBMM 101037Z AUTO 03025KT 9999 OVC022 22/20 Q1020 W///S4=,2020-09-10 10:38:21
47,SBMM,2020-09-10 11:00:00,METAR SBMM 101100Z AUTO 02017KT 9999 OVC045 22/19 Q1021 W///S4=,2020-09-10 11:00:44
48,SBMM,2020-09-10 12:00:00,METAR SBMM 101200Z AUTO 01019KT 9999 OVC047 24/20 Q1022 W///S4=,2020-09-10 12:00:36
49,SBMM,2020-09-10 13:00:00,METAR SBMM 101300Z AUTO 02021KT 9999 BKN039 23/20 Q1021 W///S4=,2020-09-10 13:00:53
50,SBMM,2020-09-10 14:00:00,METAR SBMM 101400Z AUTO 01024KT 9999 NCD 24/18 Q1020 W///S4=,2020-09-10 14:00:52
51,SBMM,2020-09-10 15:00:00,METAR SBMM 101500Z AUTO 01023KT 9999 NCD 24/19 Q1020 W///S4=,2020-09-10 15:00:36
52,SBMM,2020-09-10 16:00:00,METAR SBMM 101600Z AUTO 01024KT 9999 NCD 24/19 Q1019 W///S4=,2020-09-10 16:00:48
53,SBMM,2020-09-10 17:00:00,METAR SBMM 101700Z AUTO 02025KT 9999 NCD 24/19 Q1017 W///S4=,2020-09-10 17:00:47
54,SBMM,2020-09-10 18:00:00,METAR SBMM 101800Z AUTO 02027KT 9999 SCT021 24/20 Q1016 W///S4=,2020-09-10 18:00:11
55,SBMM,2020-09-10 19:00:00,METAR SBMM 101900Z AUTO 02027KT 9999 NCD 24/19 Q1017 W///S4=,2020-09-10 19:00:49
56,SBMM,2020-09-10 20:00:00,METAR SBMM 102000Z AUTO 02029KT 9999 NCD 24/19 Q1016 W///S4=,2020-09-10 20:00:49
57,SBMM,2020-09-10 21:00:00,METAR SBMM 102100Z AUTO 03027KT 9999 NCD 24/19 Q1016 W///S4=,2020-09-10 21:00:58
58,SBMM,2020-09-10 22:00:00,METAR SBMM 102200Z AUTO 03029KT 9999 NCD 24/19 Q1016 W///S4=,2020-09-10 22:01:04
59,SBMM,2020-09-10 23:00:00,METAR SBMM 102300Z AUTO 03031KT 9999 NCD 24/19 Q1016 W///S4=,2020-09-10 23:00:48
60,SBMM,2020-09-11 00:00:00,METAR SBMM 110000Z AUTO 02030KT 9999 NCD 24/19 Q1016 W///S4=,2020-09-11 00:01:14
61,SBMM,2020-09-11 01:00:00,METAR SBMM 110100Z AUTO 02033KT 9999 NCD 24/19 Q1016 W///S5=,2020-09-11 01:00:15
62,SBMM,2020-09-11 02:00:00,METAR SBMM 110200Z AUTO 01031KT 9999 NCD 24/20 Q1016 W///S5=,2020-09-11 02:00:43
63,SBMM,2020-09-11 03:00:00,METAR SBMM 110300Z AUTO 02033KT 9999 NCD 24/20 Q1015 W///S5=,2020-09-11 03:00:11
64,SBMM,2020-09-11 04:00:00,METAR SBMM 110400Z AUTO 01031KT 9999 SCT018 24/20 Q1015 W///S5=,2020-09-11 04:00:46
65,SBMM,2020-09-11 05:00:00,METAR SBMM 110500Z AUTO 01031KT 9999 NCD 24/20 Q1015 W///S5=,2020-09-11 05:00:53
66,SBMM,2020-09-11 06:00:00,METAR SBMM 110600Z AUTO 01031KT 9999 BKN019 24/20 Q1015 W///S5=,2020-09-11 06:00:57
67,SBMM,2020-09-11 07:00:00,METAR SBMM 110700Z AUTO 01031KT 9999 NCD 24/20 Q1015 W///S5=,2020-09-11 07:00:51
68,SBMM,2020-09-11 08:00:00,METAR SBMM 110800Z AUTO 01030KT 9999 FEW020 24/20 Q1015 W///S5=,2020-09-11 08:00:45
69,SBMM,2020-09-11 09:00:00,METAR SBMM 110900Z AUTO 01030KT 9999 NCD 24/19 Q1016 W///S5=,2020-09-11 09:01:29
70,SBMM,2020-09-11 10:00:00,METAR SBMM 111000Z AUTO 01030KT 9999 NCD 24/20 Q1016 W///S5=,2020-09-11 10:00:15
71,SBMM,2020-09-11 11:00:00,METAR SBMM 111100Z AUTO 01030KT 9999 NCD 24/20 Q1017 W///S5=,2020-09-11 11:00:58
72,SBMM,2020-09-11 12:00:00,METAR SBMM 111200Z AUTO 01030KT 9999 FEW019 24/20 Q1016 W///S5=,2020-09-11 12:00:56
73,SBMM,2020-09-11 13:00:00,METAR SBMM 111300Z AUTO 00026KT 9999 SCT015 24/20 Q1018 W///S4=,2020-09-11 13:00:27
74,SBMM,2020-09-11 14:00:00,METAR SBMM 111400Z AUTO 01027KT 9999 FEW016 24/20 Q1017 W///S5=,2020-09-11 14:00:53
